Match,Date,Vs,Venue,How Dismissed,Out,Runs,Ball,TotalRuns
1,29/04/2018,Sunrisers Hyderabad,Sawai Mansingh Stadium,c †W P Saha b S Kaul,1,11,12,11
2,8/5/2018,Kings XI Punjab,Sawai Mansingh Stadium,not out,0,9,9,20
3,4/5/2019,Delhi Capitals,Arun Jaitley Stadium,c †R R Pant b I Sharma,1,8,3,28
