Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,24/03/2019,Mumbai Indians,Wankhede Stadium,c †Q de Kock b M J McClenaghan,1,3,5,3
2,26/03/2019,Chennai Super Kings,Arun Jaitley Stadium,b R A Jadeja,1,0,4,3
3,14/04/2019,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,lbw b B Kumar,1,7,4,10
4,18/04/2019,Mumbai Indians,Arun Jaitley Stadium,run out,1,0,0,10
5,8/5/2019,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,not out,0,5,4,15
6,10/5/2019,Chennai Super Kings,Dr YS Rajasekhara Reddy Cricket Stadium,b D J J Bravo,1,3,7,18
