Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,23/03/2019,Chennai Super Kings,MA Chidambaram Stadium,c S R Watson b Imran Tahir,1,2,5,2
2,28/03/2019,Mumbai Indians,M Chinnaswamy Stadium,not out,0,9,5,11
3,31/03/2019,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c D J Hooda b Mohammad Nabi,1,5,7,16
4,28/04/2019,Delhi Capitals,Arun Jaitley Stadium,c S Dhawan b A Mishra,1,24,16,40
