Match,Date,Vs,Venue,Out,How Dismissed,Runs,Balls,TotalRuns
1,5/5/2018,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,1,c Mandeep Singh b C de Grandhomme,8,9,8
2,26/04/2019,Mumbai Indians,MA Chidambaram Stadium,1,c R D Chahar b A S Roy,5,8,13
