Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,23/03/2019,Chennai Super Kings,MA Chidambaram Stadium,run out,1,0,2,0
2,28/03/2019,Mumbai Indians,M Chinnaswamy Stadium,c H H Pandya b J J Bumrah,1,5,6,5
3,31/03/2019,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,st J M Bairstow b Mohammad Nabi,1,9,9,14
4,2/4/2019,Rajasthan Royals,Sawai Mansingh Stadium,c †J C Buttler b S Gopal,1,1,9,15
5,4/5/2019,Sunrisers Hyderabad,M Chinnaswamy Stadium,c V Shankar b Rashid Khan,1,75,47,90
