Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,20/04/2018,Chennai Super Kings,Maharashtra Cricket Association Stadium,b S N Thakur,1,7,7,7
2,22/04/2018,Mumbai Indians,Sawai Mansingh Stadium,c †Ishan Kishan b Mustafizur Rahman,1,0,1,7
3,18/05/2018,Royal Challengers Bangalore,Sawai Mansingh Stadium,c M M Ali b Mohammed Siraj,1,32,21,39
4,23/05/2018,Kolkata Knight Riders,Eden Gardens,not out,0,18,18,57
5,28/04/2019,Delhi Capitals,Arun Jaitley Stadium,c †R R Pant b A Mishra,1,3,3,60
6,30/04/2019,Rajasthan Royals,M Chinnaswamy Stadium,c L S Livingstone b O R Thomas,1,6,7,66
