,Match,Ground,Versus,Date,Wkts,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
47,49.0,Wankhede Stadium,Mumbai Indians,2018-04-24,49.0,25.61,1,3.0,16,5.33,16,18,0
48,50.0,Rajiv Gandhi International Stadium,Punjab Kings,2018-04-26,50.0,24.96,2,3.0,18,6.0,9,9,0
49,51.0,Sawai Mansingh Stadium,Rajasthan Royals,2018-04-29,,25.55,0,4.0,30,7.5,-,-,0
50,52.0,Rajiv Gandhi International Stadium,Delhi Capitals,2018-05-05,,26.22,0,4.0,34,8.5,-,-,0
51,53.0,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,2018-05-07,52.0,25.91,2,4.0,36,9.0,18,12,0
52,54.0,Arun Jaitley Stadium,Delhi Capitals,2018-05-10,54.0,25.45,2,4.0,27,6.75,13.5,12,0
53,55.0,Maharashtra Cricket Association Stadium,Chennai Super Kings,2018-05-13,,26.2,0,4.0,41,10.25,-,-,0
54,56.0,M Chinnaswamy Stadium,Royal Challengers Bangalore,2018-05-17,,26.84,0,4.0,35,8.75,-,-,0
55,57.0,Rajiv Gandhi International Stadium,Kolkata Knight Riders,2018-05-19,56.0,26.89,1,3.0,30,10.0,30,18,0
56,58.0,Wankhede Stadium,Chennai Super Kings,2018-05-22,,27.25,0,2.0,20,10.0,-,-,0
57,59.0,Eden Gardens,Kolkata Knight Riders,2018-05-25,57.0,27.05,1,3.0,16,5.33,16,18,0
58,60.0,Wankhede Stadium,Chennai Super Kings,2018-05-27,,27.32,0,1.0,15,15.0,-,-,0
59,61.0,Eden Gardens,Kolkata Knight Riders,2019-03-24,58.0,27.57,1,3.4,42,11.45,42,22,0
60,62.0,MA Chidambaram Stadium,Chennai Super Kings,2019-04-23,,28.03,0,4.0,27,6.75,-,-,0
61,63.0,Sawai Mansingh Stadium,Rajasthan Royals,2019-04-27,59.0,28.0,1,3.1,26,8.21,26,19,0
