Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,12/5/2018,Royal Challengers Bangalore,Arun Jaitley Stadium,not out,0,46,19,46
2,18/05/2018,Chennai Super Kings,Arun Jaitley Stadium,c Harbhajan Singh b S N Thakur,1,2,4,48
3,20/05/2018,Mumbai Indians,Arun Jaitley Stadium,not out,0,15,10,63
4,14/04/2019,Delhi Capitals,Rajiv Gandhi International Stadium,c K M A Paul b C H Morris,1,2,3,65
5,29/04/2019,Kings XI Punjab,Rajiv Gandhi International Stadium,not out,0,5,3,70
6,2/5/2019,Mumbai Indians,Wankhede Stadium,c †Q de Kock b H H Pandya,1,2,3,72
