Index,Foreign,Player_Name,Cost,Bowling Type,Order,Batting Performance,Bowling Performance,IndexRole,Performance,WK_Performance
137,0,Yuzvendra Chahal,2,S,-,0,0.767609345,4,0.564718352,0
138,0,Umesh Yadav,1,F,-,0,0.755840506,4,0.556060199,0
139,1,Tim Southee,1,F,-,0,0.575092219,4,0.423086473,0
140,0,Navdeep Saini,0.2,F,-,0,0.698752854,4,0.514061694,0
141,0,Mohammed Siraj,1,F,-,0,0.552784121,4,0.406674749,0
142,0,Kulwant Khejroliya,0.2,-,-,0,0.538556122,4,0.39620743,0
143,0,T Natarajan,0.4,F,-,0,0.513788864,4,0.37798654,0
144,0,Siddarth Kaul,0.3,-,-,0,0.57351133,4,0.421923437,0
145,0,Shahbaz Nadeem,0.4,-,-,0,0.527665554,4,0.388195407,0
146,0,Sandeep Sharma,0.5,F,-,0,0.505006148,4,0.371525232,0
147,1,Rashid Khan,2,S,-,0,0.794660109,4,0.584619182,0
148,0,K Khaleel Ahmed,0.2,F,-,0,1,4,0.735684571,0
149,1,Billy Stanlake,0.5,-,-,0,0.884068154,4,0.650395301,0
150,0,Bhuvneshwar Kumar,2,F,-,0,0.575619182,4,0.423474151,0
151,0,Basil Thampi,0.3,F,-,0,0.593711576,4,0.436784446,0
