,Match,Ground,Versus,Date,Wkts,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Wankhede Stadium,Mumbai Indians,2019-03-24,1.0,21.0,1,3.0,21,7.0,21,18,0
1,2.0,Arun Jaitley Stadium,Chennai Super Kings,2019-03-26,,41.0,0,3.0,20,6.67,-,-,0
2,3.0,Eden Gardens,Kolkata Knight Riders,2019-04-12,2.0,29.0,2,4.0,46,11.5,23,12,0
3,4.0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2019-04-14,4.0,17.33,3,4.0,17,4.25,5.7,8,0
4,5.0,Arun Jaitley Stadium,Mumbai Indians,2019-04-18,,23.5,0,3.0,37,12.33,-,-,0
5,6.0,Arun Jaitley Stadium,Rajasthan Royals,2019-05-04,,26.0,0,3.1,15,4.74,-,-,0
6,7.0,Dr YS Rajasekhara Reddy Cricket Stadium,Sunrisers Hyderabad,2019-05-08,7.0,20.89,3,4.0,32,8.0,10.7,8,0
7,8.0,Dr YS Rajasekhara Reddy Cricket Stadium,Chennai Super Kings,2019-05-10,,26.33,0,3.0,49,16.33,-,-,0
