,Match,Ground,Versus,Date,Wkts,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,2,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,2013-04-07,1.0,5.0,1,1,5,5.0,5,6,0
1,3,M Chinnaswamy Stadium,Royal Challengers Bangalore,2013-04-09,,17.0,0,1,12,12.0,-,-,0
2,5,Eden Gardens,Kolkata Knight Riders,2013-04-14,,31.0,0,1,14,14.0,-,-,0
3,7,Rajiv Gandhi International Stadium,Punjab Kings,2013-04-19,,33.0,0,1,2,2.0,-,-,0
4,13,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,2013-05-11,,38.0,0,2,5,2.5,-,-,0
5,24,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,2019-04-01,,47.0,0,1,9,9.0,-,-,0
