Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
1,11/4/2019,Rajasthan Royals,Sawai Mansingh Stadium,not out,0,10,3,10
2,26/04/2019,Mumbai Indians,MA Chidambaram Stadium,c K A Pollard b S L Malinga,1,22,20,32
