Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
76,25/04/2015,Kings XI Punjab,MA Chidambaram Stadium,not out,0,18,11,1294
77,28/04/2015,Kolkata Knight Riders,MA Chidambaram Stadium,b G B Hogg,1,15,20,1309
78,30/04/2015,Kolkata Knight Riders,Eden Gardens,c P J Cummins b G B Hogg,1,24,30,1333
79,2/5/2015,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,not out,0,14,12,1347
80,4/5/2015,Royal Challengers Bangalore,MA Chidambaram Stadium,c V Kohli b Y S Chahal,1,3,4,1350
81,12/5/2015,Delhi Capitals,Shaheed Veer Narayan Sing International Stadium,not out,0,3,4,1353
82,19/05/2015,Mumbai Indians,Wankhede Stadium,c J Suchith b M J McClenaghan,1,19,10,1372
83,22/05/2015,Royal Challengers Bangalore,JSCA International Stadium Complex,not out,0,0,0,1372
84,24/05/2015,Mumbai Indians,Eden Gardens,not out,0,11,8,1383
85,11/4/2016,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,run out,1,8,12,1391
86,14/04/2016,Rising Pune Supergiant,Saurashtra Cricket Association Stadium,not out,0,4,8,1395
87,21/04/2016,Sunrisers Hyderabad,Saurashtra Cricket Association Stadium,b Mustafizur Rahman,1,14,14,1409
88,24/04/2016,Royal Challengers Bangalore,Saurashtra Cricket Association Stadium,c †K L Rahul b S R Watson,1,12,10,1421
89,27/04/2016,Delhi Capitals,Arun Jaitley Stadium,c †Q de Kock b J-P Duminy,1,4,7,1425
90,29/04/2016,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,run out,1,0,1,1425
91,1/5/2016,Kings XI Punjab,Saurashtra Cricket Association Stadium,c †W P Saha b A R Patel,1,11,11,1436
92,3/5/2016,Delhi Capitals,Saurashtra Cricket Association Stadium,not out,0,36,26,1472
93,6/5/2016,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c B Kumar b Mustafizur Rahman,1,18,13,1490
94,8/5/2016,Kolkata Knight Riders,Eden Gardens,not out,0,9,9,1499
95,14/05/2016,Royal Challengers Bangalore,M Chinnaswamy Stadium,c & b C J Jordan,1,21,19,1520
96,19/05/2016,Kolkata Knight Riders,Green Park,not out,0,11,10,1531
97,21/05/2016,Mumbai Indians,Green Park,not out,0,21,15,1552
98,24/05/2016,Royal Challengers Bangalore,M Chinnaswamy Stadium,c C H Gayle b S R Watson,1,3,7,1555
99,27/05/2016,Sunrisers Hyderabad,Arun Jaitley Stadium,not out,0,19,15,1574
100,18/04/2017,Royal Challengers Bangalore,Saurashtra Cricket Association Stadium,run out,1,23,22,1597
101,21/04/2017,Kolkata Knight Riders,Eden Gardens,not out,0,19,13,1616
102,23/04/2017,Kings XI Punjab,Saurashtra Cricket Association Stadium,c & b K C Cariappa,1,9,7,1625
103,29/04/2017,Mumbai Indians,Saurashtra Cricket Association Stadium,c & b K H Pandya,1,28,21,1653
104,1/5/2017,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,c J D Unadkat b D T Christian,1,19,12,1672
105,4/5/2017,Delhi Capitals,Arun Jaitley Stadium,not out,0,18,7,1690
106,7/5/2017,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,not out,0,7,6,1697
107,10/5/2017,Delhi Capitals,Green Park,not out,0,13,7,1710
108,13/05/2017,Sunrisers Hyderabad,Green Park,not out,0,20,14,1730
109,7/4/2018,Mumbai Indians,Wankhede Stadium,c S A Yadav b Mustafizur Rahman,1,12,13,1742
110,10/4/2018,Kolkata Knight Riders,MA Chidambaram Stadium,not out,0,11,7,1753
111,15/04/2018,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,c R Ashwin b A J Tye,1,19,13,1772
112,20/04/2018,Rajasthan Royals,Maharashtra Cricket Association Stadium,not out,0,2,1,1774
113,25/04/2018,Royal Challengers Bangalore,M Chinnaswamy Stadium,b Y S Chahal,1,3,5,1777
114,28/04/2018,Mumbai Indians,Maharashtra Cricket Association Stadium,not out,0,0,0,1777
115,30/04/2018,Delhi Capitals,Maharashtra Cricket Association Stadium,not out,0,0,0,1777
116,3/5/2018,Kolkata Knight Riders,Eden Gardens,c †K D Karthik b P P Chawla,1,12,12,1789
117,18/05/2018,Delhi Capitals,Arun Jaitley Stadium,not out,0,27,18,1816
118,22/05/2018,Sunrisers Hyderabad,Wankhede Stadium,c & b Sandeep Sharma,1,3,5,1819
119,23/03/2019,Royal Challengers Bangalore,MA Chidambaram Stadium,not out,0,6,15,1825
120,31/03/2019,Rajasthan Royals,MA Chidambaram Stadium,not out,0,8,3,1833
121,3/4/2019,Mumbai Indians,Wankhede Stadium,c †Q de Kock b H H Pandya,1,1,2,1834
122,11/4/2019,Rajasthan Royals,Sawai Mansingh Stadium,not out,0,9,4,1843
123,14/04/2019,Kolkata Knight Riders,Eden Gardens,not out,0,31,17,1874
124,17/04/2019,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,not out,0,10,20,1884
125,21/04/2019,Royal Challengers Bangalore,M Chinnaswamy Stadium,run out,1,11,12,1895
126,1/5/2019,Delhi Capitals,MA Chidambaram Stadium,c & b C H Morris,1,25,10,1920
127,12/5/2019,Mumbai Indians,Rajiv Gandhi International Stadium,not out,0,5,5,1925
