,Match,Ground,Versus,Date,Wkts,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Sawai Mansingh Stadium,Rajasthan Royals,2019-03-25,1.0,26.0,2,4.0,52,13.0,26,12,0
1,2.0,Punjab Cricket Association IS Bindra Stadium,Delhi Capitals,2019-04-01,3.0,10.5,4,2.2,11,4.71,2.8,3.5,0
2,3.0,MA Chidambaram Stadium,Chennai Super Kings,2019-04-06,,16.33,0,4.0,35,8.75,-,-,0
3,4.0,Punjab Cricket Association IS Bindra Stadium,Sunrisers Hyderabad,2019-04-08,,21.33,0,4.0,30,7.5,-,-,0
4,5.0,Wankhede Stadium,Mumbai Indians,2019-04-10,7.0,26.0,1,4.0,54,13.5,54,24,0
5,6.0,Punjab Cricket Association IS Bindra Stadium,Royal Challengers Bangalore,2019-04-13,,30.43,0,3.0,31,10.33,-,-,0
6,7.0,Arun Jaitley Stadium,Delhi Capitals,2019-04-20,,35.29,0,3.4,34,9.27,-,-,0
7,8.0,Punjab Cricket Association IS Bindra Stadium,Kolkata Knight Riders,2019-05-03,,41.14,0,4.0,41,10.25,-,-,0
8,9.0,Punjab Cricket Association IS Bindra Stadium,Chennai Super Kings,2019-05-05,8.0,32.3,3,4.0,35,8.75,11.7,8,0
