,Match,Ground,Vs,Date,Agg,Avg,WicketsCric,Overs,Runs,Econ,AvgCric,SR,5W
0,1.0,Sawai Mansingh Stadium,Sunrisers Hyderabad,2018-04-29,1.0,25.0,1,3.0,25,8.33,25,18,0
1,2.0,Sawai Mansingh Stadium,Kings XI Punjab,2018-05-08,2.0,19.5,1,4.0,14,3.5,14,24,0
2,3.0,Sawai Mansingh Stadium,Chennai Super Kings,2018-05-11,3.0,22.67,1,4.0,29,7.25,29,24,0
3,4.0,Eden Gardens,Kolkata Knight Riders,2018-05-15,4.0,22.25,1,4.0,21,5.25,21,24,0
4,5.0,Sawai Mansingh Stadium,Royal Challengers Bangalore,2018-05-18,5.0,24.0,1,4.0,31,7.75,31,24,0
5,6.0,Eden Gardens,Kolkata Knight Riders,2018-05-23,5.0,27.0,0,4.0,15,3.75,-,-,0
6,7.0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2019-04-16,6.0,29.33,1,4.0,41,10.25,41,24,0
7,8.0,Arun Jaitley Stadium,Delhi Capitals,2019-05-04,9.0,22.44,3,3.1,26,8.21,8.7,6.3,0
